@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
49,'2016/12/16 20:15:22:042',4,158,190,50,?
50,'2016/12/16 20:15:22:165',4,158,190,50,?
51,'2016/12/16 20:15:22:288',4,158,190,50,?
52,'2016/12/16 20:15:22:411',4,158,190,50,?
53,'2016/12/16 20:15:22:534',4,158,190,50,?
54,'2016/12/16 20:15:22:657',4,158,190,50,?
55,'2016/12/16 20:15:22:779',4,158,190,50,?
56,'2016/12/16 20:15:22:902',4,158,190,50,?
57,'2016/12/16 20:15:23:025',4,158,190,50,?
58,'2016/12/16 20:15:23:148',4,158,190,50,?
59,'2016/12/16 20:15:23:271',4,158,190,50,?
60,'2016/12/16 20:15:23:398',4,158,190,50,?
61,'2016/12/16 20:15:23:521',4,158,190,50,?
62,'2016/12/16 20:15:23:643',4,158,189,50,?
63,'2016/12/16 20:15:23:767',4,158,190,50,?
64,'2016/12/16 20:15:23:889',4,158,190,50,?
65,'2016/12/16 20:15:28:079',5,158,232,70,?
66,'2016/12/16 20:15:28:202',5,158,232,70,?
67,'2016/12/16 20:15:28:325',5,158,232,70,?
68,'2016/12/16 20:15:28:448',5,158,232,70,?
69,'2016/12/16 20:15:28:571',5,157,232,70,?
70,'2016/12/16 20:15:28:694',5,158,232,70,?
71,'2016/12/16 20:15:28:817',5,157,232,70,?
72,'2016/12/16 20:15:28:939',5,158,232,70,?
73,'2016/12/16 20:15:29:066',5,157,232,70,?
74,'2016/12/16 20:15:29:189',5,157,232,70,?
75,'2016/12/16 20:15:29:312',5,157,232,70,?
76,'2016/12/16 20:15:29:435',5,158,232,70,?
77,'2016/12/16 20:15:29:558',5,158,232,70,?
78,'2016/12/16 20:15:29:681',5,158,232,70,?
79,'2016/12/16 20:15:29:803',5,158,232,70,?
80,'2016/12/16 20:15:29:926',5,157,232,70,?
81,'2016/12/16 20:15:30:049',5,158,231,70,?
82,'2016/12/16 20:15:30:172',5,157,231,70,?
83,'2016/12/16 20:15:30:295',5,157,232,70,?
84,'2016/12/16 20:15:30:418',5,158,231,70,?
85,'2016/12/16 20:15:44:835',6,168,186,?,0
86,'2016/12/16 20:15:44:958',6,169,186,?,0
87,'2016/12/16 20:15:45:081',6,170,186,?,0
88,'2016/12/16 20:15:45:203',6,170,186,?,0
89,'2016/12/16 20:15:45:331',6,169,186,?,0
90,'2016/12/16 20:15:45:453',6,170,186,?,0
91,'2016/12/16 20:15:45:576',6,170,186,?,0
92,'2016/12/16 20:15:45:699',6,169,186,?,0
93,'2016/12/16 20:15:45:822',6,170,186,?,0
94,'2016/12/16 20:15:45:945',6,169,186,?,0
95,'2016/12/16 20:15:46:068',6,169,186,?,0
96,'2016/12/16 20:15:46:190',6,170,186,?,0
97,'2016/12/16 20:15:46:313',6,169,186,?,0
98,'2016/12/16 20:15:46:436',6,169,186,?,0
99,'2016/12/16 20:15:46:559',6,169,186,?,0
100,'2016/12/16 20:15:46:682',6,169,186,?,0
101,'2016/12/16 20:15:46:809',6,169,186,?,0
102,'2016/12/16 20:15:46:932',6,169,186,?,0
103,'2016/12/16 20:15:54:198',7,234,186,?,1
104,'2016/12/16 20:15:54:321',7,233,186,?,1
105,'2016/12/16 20:15:54:448',7,233,186,?,1
106,'2016/12/16 20:15:54:570',7,233,186,?,1
107,'2016/12/16 20:15:54:693',7,233,186,?,1
108,'2016/12/16 20:15:54:816',7,234,186,?,1
109,'2016/12/16 20:15:54:939',7,234,186,?,1
110,'2016/12/16 20:15:55:062',7,232,186,?,1
111,'2016/12/16 20:15:55:185',7,233,186,?,1
112,'2016/12/16 20:15:55:308',7,233,186,?,1
113,'2016/12/16 20:15:55:431',7,233,186,?,1
114,'2016/12/16 20:15:55:553',7,233,186,?,1
115,'2016/12/16 20:15:55:676',7,233,186,?,1
116,'2016/12/16 20:15:55:799',7,233,186,?,1
